Scientific (AviList),English (AviList)
Troglodytes rufulus,Tepui Wren
Troglodytes rufulus rufulus,
Troglodytes rufulus fulvigularis,
Troglodytes rufulus yavii,
Troglodytes rufulus duidae,
Troglodytes rufulus wetmorei,
Troglodytes rufulus marahuacae,
Troglodytes troglodytes,Eurasian Wren
Troglodytes troglodytes islandicus,
Troglodytes troglodytes borealis,
Troglodytes troglodytes zetlandicus,
Troglodytes troglodytes fridariensis,
Troglodytes troglodytes hirtensis,
Troglodytes troglodytes hebridensis,
Troglodytes troglodytes indigenus,
Troglodytes troglodytes troglodytes,
Troglodytes troglodytes kabylorum,
Troglodytes troglodytes koenigi,
Troglodytes troglodytes juniperi,
Troglodytes troglodytes cypriotes,
Troglodytes troglodytes hyrcanus,
Troglodytes troglodytes tianschanicus,
Troglodytes troglodytes subpallidus,
Troglodytes troglodytes magrathi,
Troglodytes troglodytes neglectus,
Troglodytes troglodytes nipalensis,
Troglodytes troglodytes idius,
Troglodytes troglodytes szetschuanus,
Troglodytes troglodytes talifuensis,
Troglodytes troglodytes dauricus,
Troglodytes troglodytes pallescens,
Troglodytes troglodytes kurilensis,
Troglodytes troglodytes fumigatus,
Troglodytes troglodytes mosukei,
Troglodytes troglodytes ogawae,
Troglodytes troglodytes taivanus,
Troglodytes pacificus,Pacific Wren
Troglodytes pacificus alascensis,
Troglodytes pacificus meligerus,
Troglodytes pacificus kiskensis,
Troglodytes pacificus tanagensis,
Troglodytes pacificus seguamensis,
Troglodytes pacificus petrophilus,
Troglodytes pacificus stevensoni,
Troglodytes pacificus ochroleucus,
Troglodytes pacificus semidiensis,
Troglodytes pacificus helleri,
Troglodytes pacificus pacificus,
Troglodytes pacificus muiri,
Troglodytes pacificus obscurior,
Troglodytes pacificus salebrosus,
Troglodytes hiemalis,Winter Wren
Troglodytes hiemalis hiemalis,
Troglodytes hiemalis pullus,
Odontorchilus,
Odontorchilus cinereus,Tooth-billed Wren
Odontorchilus branickii,Grey-mantled Wren
Odontorchilus branickii branickii,
Odontorchilus branickii minor,
Uropsila,
Uropsila leucogastra,White-bellied Wren
Uropsila leucogastra pacifica,
Uropsila leucogastra leucogastra,
Uropsila leucogastra centralis,
Uropsila leucogastra restricta,
Uropsila leucogastra brachyura,
Pheugopedius,
Pheugopedius spadix,Sooty-headed Wren
Pheugopedius fasciatoventris,Black-bellied Wren
Pheugopedius fasciatoventris melanogaster,
Pheugopedius fasciatoventris albigularis,
Pheugopedius fasciatoventris fasciatoventris,
Pheugopedius euophrys,Plain-tailed Wren
Pheugopedius euophrys euophrys,
Pheugopedius euophrys longipes,
Pheugopedius euophrys atriceps,
Pheugopedius schulenbergi,Grey-browed Wren
Pheugopedius eisenmanni,Inca Wren
Pheugopedius mystacalis,Whiskered Wren
Pheugopedius mystacalis consobrinus,
Pheugopedius mystacalis ruficaudatus,
Pheugopedius mystacalis tachirensis,
Pheugopedius mystacalis saltuensis,
Pheugopedius mystacalis yananchae,
Pheugopedius mystacalis mystacalis,
Pheugopedius mystacalis macrurus,
Pheugopedius mystacalis amaurogaster,
Pheugopedius genibarbis,Moustached Wren
Pheugopedius genibarbis juruanus,
Pheugopedius genibarbis genibarbis,
Pheugopedius genibarbis intercedens,
Pheugopedius genibarbis bolivianus,
Pheugopedius coraya,Coraya Wren
Pheugopedius coraya obscurus,
Pheugopedius coraya caurensis,
Pheugopedius coraya barrowcloughianus,
Pheugopedius coraya ridgwayi,
Pheugopedius coraya coraya,
Pheugopedius coraya herberti,
Pheugopedius coraya griseipectus,
Pheugopedius coraya amazonicus,
Pheugopedius coraya albiventris,
Pheugopedius coraya cantator,
Pheugopedius rutilus,Rufous-breasted Wren
Pheugopedius rutilus hyperythrus,
Pheugopedius rutilus tobagensis,
Pheugopedius rutilus rutilus,
Pheugopedius rutilus intensus,
Pheugopedius rutilus laetus,
Pheugopedius rutilus interior,
Pheugopedius rutilus hypospodius,
Pheugopedius maculipectus,Spot-breasted Wren
Pheugopedius maculipectus microstictus,
Pheugopedius maculipectus maculipectus,
Pheugopedius maculipectus canobrunneus,
Pheugopedius maculipectus umbrinus,
Pheugopedius maculipectus petersi,
Pheugopedius sclateri,Speckle-breasted Wren
Pheugopedius sclateri columbianus,
Pheugopedius sclateri paucimaculatus,
Pheugopedius sclateri sclateri,
Pheugopedius felix,Happy Wren
Pheugopedius felix sonorae,
Pheugopedius felix pallidus,
Pheugopedius felix lawrencii,
Pheugopedius felix grandis,
Pheugopedius felix felix,
Pheugopedius atrogularis,Black-throated Wren
Cinnycerthia,
Cinnycerthia unirufa,Rufous Wren
Cinnycerthia unirufa unirufa,
Cinnycerthia unirufa chakei,
Cinnycerthia unirufa unibrunnea,
Cinnycerthia olivascens,Sepia-brown Wren
Cinnycerthia olivascens bogotensis,
Cinnycerthia olivascens olivascens,
Cinnycerthia peruana,Peruvian Wren
Cinnycerthia fulva,Fulvous Wren
Cinnycerthia fulva fitzpatricki,
Cinnycerthia fulva fulva,
Cinnycerthia fulva gravesi,
Cantorchilus,
Cantorchilus thoracicus,Stripe-breasted Wren
Cantorchilus leucopogon,Stripe-throated Wren
Cantorchilus leucopogon grisescens,
Cantorchilus leucopogon leucopogon,
Cantorchilus modestus,Cabanis's Wren
Cantorchilus zeledoni,Canebrake Wren
Cantorchilus elutus,Isthmian Wren
Cantorchilus semibadius,Riverside Wren
Cantorchilus nigricapillus,Bay Wren
Cantorchilus nigricapillus costaricensis,
Cantorchilus nigricapillus castaneus,
Cantorchilus nigricapillus odicus,
Cantorchilus nigricapillus reditus,
Cantorchilus nigricapillus schottii,
Cantorchilus nigricapillus connectens,
Cantorchilus nigricapillus nigricapillus,
Cantorchilus superciliaris,Superciliated Wren
Cantorchilus superciliaris superciliaris,
Cantorchilus superciliaris baroni,
Cantorchilus leucotis,Buff-breasted Wren
Cantorchilus leucotis galbraithii,
Cantorchilus leucotis conditus,
Cantorchilus leucotis leucotis,
Cantorchilus leucotis collinus,
Cantorchilus leucotis venezuelanus,
Cantorchilus leucotis zuliensis,
Cantorchilus leucotis hypoleucus,
Cantorchilus leucotis bogotensis,
Cantorchilus leucotis albipectus,
Cantorchilus leucotis peruanus,
Cantorchilus leucotis rufiventris,
Cantorchilus longirostris,Long-billed Wren
Cantorchilus longirostris bahiae,
Cantorchilus longirostris longirostris,
Cantorchilus guarayanus,Fawn-breasted Wren
Cantorchilus griseus,Grey Wren
Henicorhina,
Henicorhina leucosticta,White-breasted Wood Wren
Henicorhina leucosticta decolorata,
Henicorhina leucosticta prostheleuca,
Henicorhina leucosticta smithei,
Henicorhina leucosticta tropaea,
Henicorhina leucosticta costaricensis,
Henicorhina leucosticta pittieri,
Henicorhina leucosticta alexandri,
Henicorhina leucosticta darienensis,
Henicorhina leucosticta albilateralis,
Henicorhina leucosticta leucosticta,
Henicorhina leucosticta eucharis,
Henicorhina leucosticta inornata,
Henicorhina leucosticta hauxwelli,
Henicorhina leucoptera,Bar-winged Wood Wren
Henicorhina leucophrys,Grey-breasted Wood Wren
Henicorhina leucophrys minuscula,
Henicorhina leucophrys festiva,
Henicorhina leucophrys mexicana,
Henicorhina leucophrys castanea,
Henicorhina leucophrys capitalis,
Henicorhina leucophrys composita,
Henicorhina leucophrys collina,
Henicorhina leucophrys bangsi,
Henicorhina leucophrys manastarae,
Henicorhina leucophrys sanluisensis,
Henicorhina leucophrys venezuelensis,
Henicorhina leucophrys meridana,
Henicorhina leucophrys tamae,
Henicorhina leucophrys brunneiceps,
Henicorhina leucophrys hilaris,
Henicorhina leucophrys leucophrys,
Henicorhina leucophrys boliviana,
Henicorhina anachoreta,Hermit Wood Wren
Henicorhina negreti,Munchique Wood Wren
Cyphorhinus,
Cyphorhinus dichrous,Northern Chestnut-breasted Wren
Cyphorhinus thoracicus,Southern Chestnut-breasted Wren
Cyphorhinus phaeocephalus,Song Wren
Cyphorhinus phaeocephalus richardsoni,
Cyphorhinus phaeocephalus infuscatus,
Cyphorhinus phaeocephalus lawrencii,
Cyphorhinus phaeocephalus propinquus,
Cyphorhinus phaeocephalus chocoanus,
Cyphorhinus phaeocephalus phaeocephalus,
Cyphorhinus arada,Musician Wren
Cyphorhinus arada arada,
Cyphorhinus arada griseolateralis,
Cyphorhinus arada interpositus,
Cyphorhinus arada transfluvialis,
Cyphorhinus arada salvini,
Cyphorhinus arada modulator,
Thryophilus,
Thryophilus sinaloa,Sinaloa Wren
Thryophilus sinaloa cinereus,
Thryophilus sinaloa sinaloa,
Thryophilus sinaloa russeus,
Thryophilus pleurostictus,Banded Wren
Thryophilus pleurostictus nisorius,
Thryophilus pleurostictus oaxacae,
Thryophilus pleurostictus acaciarum,
Thryophilus pleurostictus oblitus,
Thryophilus pleurostictus pleurostictus,
Thryophilus pleurostictus lateralis,
Thryophilus pleurostictus ravus,
Thryophilus rufalbus,Rufous-and-white Wren
Thryophilus rufalbus rufalbus,
Thryophilus rufalbus sylvus,
Thryophilus rufalbus castanonotus,
Thryophilus rufalbus cumanensis,
Thryophilus rufalbus minlosi,
Thryophilus sernai,Antioquia Wren
Thryophilus nicefori,Niceforo's Wren
Elachuridae,
Elachura,
Elachura formosa,Spotted Elachura
Buphagidae,
Buphagus,
Buphagus erythroryncha,Red-billed Oxpecker
Buphagus africanus,Yellow-billed Oxpecker
Buphagus africanus africanus,
Buphagus africanus langi,
Mimidae,
Melanotis,
Melanotis hypoleucus,Blue-and-white Mockingbird
Melanotis caerulescens,Blue Mockingbird
Melanotis caerulescens caerulescens,
Melanotis caerulescens longirostris,
Melanoptila,
Melanoptila glabrirostris,Black Catbird
Dumetella,
Dumetella carolinensis,Grey Catbird
Ramphocinclus,
Ramphocinclus brachyurus,Martinique Thrasher
Ramphocinclus sanctaeluciae,St. Lucia Thrasher
Allenia,
Allenia fusca,Scaly-breasted Thrasher
Allenia fusca hypenema,
Allenia fusca vincenti,
Allenia fusca atlantica,
Allenia fusca schwartzi,
Allenia fusca fusca,
Margarops,
Margarops fuscatus,Pearly-eyed Thrasher
Margarops fuscatus fuscatus,
Margarops fuscatus klinikowskii,
Margarops fuscatus densirostris,
Margarops fuscatus bonairensis,
Cinclocerthia,
Cinclocerthia gutturalis,Grey Trembler
Cinclocerthia gutturalis gutturalis,
Cinclocerthia gutturalis macrorhyncha,
Cinclocerthia ruficauda,Brown Trembler
Cinclocerthia ruficauda pavida,
Cinclocerthia ruficauda tremula,
Cinclocerthia ruficauda ruficauda,
Cinclocerthia ruficauda tenebrosa,
Toxostoma,
Toxostoma curvirostre,Curve-billed Thrasher
Toxostoma curvirostre palmeri,
Toxostoma curvirostre maculatum,
Toxostoma curvirostre insularum,
Toxostoma curvirostre occidentale,
Toxostoma curvirostre celsum,
Toxostoma curvirostre oberholseri,
Toxostoma curvirostre curvirostre,
Toxostoma ocellatum,Ocellated Thrasher
Toxostoma ocellatum ocellatum,
Toxostoma ocellatum villai,
Toxostoma rufum,Brown Thrasher
Toxostoma rufum rufum,
Toxostoma rufum longicauda,
Toxostoma longirostre,Long-billed Thrasher
Toxostoma longirostre sennetti,
Toxostoma longirostre longirostre,
Toxostoma guttatum,Cozumel Thrasher
Toxostoma bendirei,Bendire's Thrasher
Toxostoma cinereum,Grey Thrasher
Toxostoma cinereum mearnsi,
Toxostoma cinereum cinereum,
Toxostoma redivivum,California Thrasher
Toxostoma redivivum sonomae,
Toxostoma redivivum redivivum,
Toxostoma lecontei,LeConte's Thrasher
Toxostoma lecontei lecontei,
Toxostoma lecontei macmillanorum,
Toxostoma lecontei arenicola,
Toxostoma crissale,Crissal Thrasher
Toxostoma crissale coloradense,
Toxostoma crissale crissale,
Toxostoma crissale dumosum,
Oreoscoptes,
Oreoscoptes montanus,Sage Thrasher
Mimus,
Mimus thenca,Chilean Mockingbird
Mimus patagonicus,Patagonian Mockingbird
Mimus saturninus,Chalk-browed Mockingbird
Mimus saturninus saturninus,
Mimus saturninus arenaceus,
Mimus saturninus frater,
Mimus saturninus modulator,
Mimus triurus,White-banded Mockingbird
Mimus dorsalis,Brown-backed Mockingbird
Mimus gundlachii,Bahama Mockingbird
Mimus gundlachii gundlachii,
Mimus gundlachii hillii,
Mimus parvulus,Galapagos Mockingbird
Mimus parvulus parvulus,
Mimus parvulus barringtoni,
Mimus parvulus personatus,
Mimus parvulus wenmani,
Mimus parvulus hulli,
Mimus parvulus bauri,
Mimus trifasciatus,Floreana Mockingbird
Mimus macdonaldi,Espanola Mockingbird
Mimus melanotis,San Cristobal Mockingbird
Mimus longicaudatus,Long-tailed Mockingbird
Mimus longicaudatus platensis,
Mimus longicaudatus albogriseus,
Mimus longicaudatus longicaudatus,
Mimus longicaudatus maranonicus,
Mimus graysoni,Socorro Mockingbird
Mimus gilvus,Tropical Mockingbird
Mimus gilvus gracilis,
Mimus gilvus leucophaeus,
Mimus gilvus antillarum,
Mimus gilvus tobagensis,
Mimus gilvus rostratus,
Mimus gilvus melanopterus,
Mimus gilvus gilvus,
Mimus gilvus tolimensis,
Mimus gilvus antelius,
Mimus gilvus magnirostris,
Mimus polyglottos,Northern Mockingbird
Mimus polyglottos polyglottos,
Mimus polyglottos orpheus,
Sturnidae,
Rhabdornis,
Rhabdornis mystacalis,Stripe-headed Rhabdornis
Rhabdornis mystacalis mystacalis,
Rhabdornis mystacalis minor,
Rhabdornis grandis,Grand Rhabdornis
Rhabdornis inornatus,Stripe-breasted Rhabdornis
Rhabdornis inornatus inornatus,
Rhabdornis inornatus leytensis,
Rhabdornis inornatus alaris,
Rhabdornis rabori,Visayan Rhabdornis
Enodes,
Enodes erythrophris,Fiery-browed Starling
Scissirostrum,
Scissirostrum dubium,Grosbeak Starling
Basilornis,
Basilornis celebensis,Sulawesi Myna
Basilornis galeatus,Helmeted Myna
Basilornis corythaix,Long-crested Myna
Goodfellowia,
Goodfellowia miranda,Apo Myna
Sarcops,
Sarcops calvus,Coleto
Sarcops calvus calvus,
Sarcops calvus melanonotus,
Sarcops calvus lowii,
Streptocitta,
Streptocitta albertinae,Bare-eyed Myna
Streptocitta albicollis,White-necked Myna
Streptocitta albicollis torquata,
Streptocitta albicollis albicollis,
Mino,
Mino dumontii,Yellow-faced Myna
Mino anais,Golden Myna
Mino anais anais,
Mino anais orientalis,
Mino anais robertsonii,
Mino kreffti,Long-tailed Myna
Mino kreffti giliau,
Mino kreffti kreffti,
Mino kreffti sanfordi,
Ampeliceps,
Ampeliceps coronatus,Golden-crested Myna
Gracula,
Gracula ptilogenys,Sri Lanka Hill Myna
Gracula religiosa,Common Hill Myna
Gracula religiosa peninsularis,
Gracula religiosa intermedia,
Gracula religiosa andamanensis,
Gracula religiosa religiosa,
Gracula religiosa batuensis,
Gracula religiosa palawanensis,
Gracula religiosa miotera,
Gracula religiosa robusta,
Gracula religiosa enganensis,
Gracula venerata,Tenggara Hill Myna
Gracula indica,Southern Hill Myna
Aplonis,
Aplonis metallica,Metallic Starling
Aplonis metallica metallica,
Aplonis metallica nitida,
Aplonis metallica purpureiceps,
Aplonis metallica inornata,
Aplonis metallica circumscripta,
Aplonis mystacea,Yellow-eyed Starling
Aplonis crassa,Tanimbar Starling
Aplonis feadensis,Atoll Starling
Aplonis feadensis heureka,
Aplonis feadensis feadensis,
Aplonis insularis,Rennell Starling
Aplonis magna,Long-tailed Starling
Aplonis magna magna,
Aplonis magna brevicauda,
Aplonis brunneicapillus,White-eyed Starling
Aplonis grandis,Brown-winged Starling
Aplonis grandis grandis,
Aplonis grandis malaitae,
Aplonis grandis macrura,
Aplonis dichroa,Makira Starling
Aplonis zelandica,Rusty-winged Starling
Aplonis zelandica maxwellii,
Aplonis zelandica zelandica,
Aplonis zelandica rufipennis,
Aplonis striata,Striated Starling
Aplonis striata striata,
Aplonis striata atronitens,
Aplonis pelzelni,Pohnpei Starling
Aplonis cantoroides,Singing Starling
Aplonis santovestris,Mountain Starling
Aplonis panayensis,Asian Glossy Starling
Aplonis panayensis affinis,
Aplonis panayensis tytleri,
Aplonis panayensis albiris,
Aplonis panayensis strigata,
Aplonis panayensis altirostris,
Aplonis panayensis nesodramus,
Aplonis panayensis pachistorhina,
Aplonis panayensis enganensis,
Aplonis panayensis heterochlora,
Aplonis panayensis eustathis,
Aplonis panayensis alipodis,
Aplonis panayensis gusti,
Aplonis panayensis sanghirensis,
Aplonis panayensis panayensis,
Aplonis mysolensis,Moluccan Starling
Aplonis minor,Short-tailed Starling
Aplonis minor minor,
Aplonis minor todayensis,
Aplonis opaca,Micronesian Starling
Aplonis opaca aenea,
Aplonis opaca guami,
Aplonis opaca orii,
Aplonis opaca kurodai,
Aplonis opaca ponapensis,
Aplonis opaca opaca,
Aplonis opaca anga,
Aplonis tabuensis,Polynesian Starling
Aplonis tabuensis pachyrhampha,
Aplonis tabuensis tucopiae,
Aplonis tabuensis rotumae,
Aplonis tabuensis vitiensis,
Aplonis tabuensis manuae,
Aplonis tabuensis tabuensis,
Aplonis tabuensis fortunae,
Aplonis tabuensis tenebrosa,
Aplonis tabuensis nesiotes,
Aplonis tabuensis brunnescens,
Aplonis tabuensis tutuilae,
Aplonis tabuensis brevirostris,
Aplonis atrifusca,Samoan Starling
Aplonis corvina,Kosrae Starling
Aplonis cinerascens,Rarotonga Starling
Aplonis mavornata,Mauke Starling
Aplonis fusca,Tasman Starling
Aplonis fusca fusca,
Aplonis fusca hulliana,
Sturnus,
Sturnus unicolor,Spotless Starling
Sturnus vulgaris,Common Starling
Sturnus vulgaris caucasicus,
Sturnus vulgaris vulgaris,
Sturnus vulgaris faroensis,
Sturnus vulgaris zetlandicus,
Sturnus vulgaris granti,
Sturnus vulgaris poltaratskyi,
Sturnus vulgaris tauricus,
Sturnus vulgaris purpurascens,
Sturnus vulgaris oppenheimi,
Sturnus vulgaris nobilior,
Sturnus vulgaris porphyronotus,
Sturnus vulgaris humii,
Sturnus vulgaris minor,
Creatophora,
Creatophora cinerea,Wattled Starling
Pastor,
Pastor roseus,Rosy Starling
Agropsar,
Agropsar sturninus,Daurian Starling
Agropsar philippensis,Chestnut-cheeked Starling
Gracupica,
Gracupica nigricollis,Black-collared Starling
Gracupica contra,Indian Pied Myna
Gracupica contra contra,
Gracupica contra superciliaris,
Gracupica floweri,Siamese Pied Myna
Gracupica jalla,Javan Pied Myna
Necropsar,
Necropsar rodericanus,Rodrigues Starling
Leucopsar,
Leucopsar rothschildi,Bali Starling
Fregilupus,
Fregilupus varius,Hoopoe Starling
Sturnornis,
Sturnornis albofrontatus,White-faced Starling
Sturnia,
Sturnia sinensis,White-shouldered Starling
Sturnia pagodarum,Brahminy Starling
Sturnia malabarica,Chestnut-tailed Starling
Sturnia malabarica malabarica,
Sturnia malabarica nemoricola,
Sturnia malabarica blythii,
Sturnia erythropygia,White-headed Starling
Sturnia erythropygia andamanensis,
Sturnia erythropygia erythropygia,
Sturnia erythropygia katchalensis,
Spodiopsar,
Spodiopsar sericeus,Red-billed Starling
Spodiopsar cineraceus,White-cheeked Starling
Acridotheres,
Acridotheres ginginianus,Bank Myna
Acridotheres tristis,Common Myna
Acridotheres tristis tristis,
Acridotheres tristis melanosternus,
Acridotheres melanopterus,Black-winged Myna
Acridotheres melanopterus melanopterus,
Acridotheres melanopterus tricolor,
Acridotheres melanopterus tertius,
Acridotheres burmannicus,Burmese Myna
Acridotheres leucocephalus,Vinous-breasted Myna
Acridotheres albocinctus,Collared Myna
